Jurisdiction,County
Albany City School District Consumer Utilities,Albany
Albany County Sales and Use Tax,Albany
Allegany County Sales and Use Tax,Allegany
Batavia City School District Consumer Utilities,Genesee
Broome County Sales and Use Tax,Broome
Cattaraugus County Sales and Use Tax,Cattaraugus
Cayuga County Sales and Use Tax,Cayuga
Chautauqua County Sales and Use Tax,Chautauqua
Chemung County Sales and Use Tax,Chemung
Chenango County Sales and Use Tax,Chenango
City of Auburn Sales and Use Tax,Cayuga
City of Canandaigua Sales and Use Tax,Ontario
City of Corning Sales and Use Tax,Steuben
City of Fulton Sales and Use Tax,Oswego
City of Geneva Sales and Use Tax,Ontario
City of Glens Falls Sales and Use Tax,Warren
City of Gloversville Sales and Use Tax,Fulton
City of Hornell Sales and Use Tax,Steuben
City of Ithaca Sales and Use Tax,Tompkins
City of Johnstown Sales and Use Tax,Fulton
City of Lockport Admissions,Niagara
City of Long Beach Hotel Occupancy and Restaurant Meals,Nassau
City of Mount Vernon Sales and Use Tax,Westchester
City of New Rochelle Sales and Use Tax,Westchester
City of Newburgh Consumer Utilities,Orange
City of Niagara Falls Admissions,Niagara
City of Norwich Sales and Use Tax,Chenango
City of Olean Sales and Use Tax,Cattaraugus
City of Oneida Sales and Use Tax,Madison
City of Oswego Sales and Use Tax,Oswego
City of Port Jervis Consumer Utilities,Orange
City of Rome Sales and Use Tax,Oneida
City of Salamanca Sales and Use Tax,Cattaraugus
City of Saratoga Springs Sales and Use Tax,Saratoga
City of Sherrill Sales and Use Tax,Oneida
City of Utica Sales and Use Tax,Oneida
City of White Plains Sales and Use Tax,Westchester
City of Yonkers Sales and Use Tax,Westchester
City of Yonkers Special Sales and Use Tax,Westchester
Clinton County Sales and Use Tax,Clinton
Cohoes City School District Consumer Utilities,Albany
Columbia County Sales and Use Tax,Columbia
Cortland County Sales and Use Tax,Cortland
Delaware County Sales and Use Tax,Delaware
Dutchess County Sales and Use Tax,Dutchess
Erie County Sales and Use Tax,Erie
Essex County Sales and Use Tax,Essex
Franklin County Sales and Use Tax,Franklin
Fulton County Sales and Use Tax,Fulton
Genesee County Sales and Use Tax,Genesee
Glen Cove City School District Consumer Utilities,Nassau
Gloversville City School District Consumer Utilities,Fulton
Greene County Sales and Use Tax,Greene
Hamilton County Sales and Use Tax,Hamilton
Herkimer County Sales and Use Tax,Herkimer
Hornell City School District Consumer Utilities,Steuben
Hudson City School District Consumer Utilities,Columbia
Jefferson County Sales and Use Tax,Jefferson
Johnstown City School District Consumer Utilities,Fulton
Lackawanna City School District Consumer Utilities,Erie
Lewis County Sales and Use Tax,Lewis
Livingston County Sales and Use Tax,Livingston
Long Beach City School District Consumer Utilities,Nassau
Madison County Sales and Use Tax,Madison
Metropolitan Commuter Transportation District Sales and Use Tax,MCTD
Middletown City School District Consumer Utilities,Orange
Monroe County Sales and Use Tax,Monroe
Montgomery County Sales and Use Tax,Montgomery
Mt. Vernon City School District Consumer Utilities,Westchester
Nassau County Sales and Use Tax,Nassau
New Rochelle City School District Consumer Utilities,Westchester
New York City Convention Center Development Corporation Hotel Occupancy,NY City
New York City Sales and Use Tax,NY City
New York State Sales and Use Tax,NY State
Newburgh City School District Consumer Utilities,Orange
Niagara County Sales and Use Tax,Niagara
Niagara Falls City School District Consumer Utilities,Niagara
Ogdensburg City School District Consumer Utilities,St Lawrence
Oneida County Sales and Use Tax,Oneida
Onondaga County Sales and Use Tax,Onondaga
Ontario County Sales and Use Tax,Ontario
Orange County Sales and Use Tax,Orange
Orleans County Sales and Use Tax,Orleans
Oswego County Sales and Use Tax,Oswego
Otsego County Sales and Use Tax,Otsego
Peekskill City School District Consumer Utilities,Westchester
Pougkeepsie City School District Consumer Utilities,Dutchess
Putnam County Sales and Use Tax,Putnam
Rensselaer City School District Consumer Utilities,Rensselaer
Rensselaer County Sales and Use Tax,Rensselaer
Rockland County Sales and Use Tax,Rockland
Rye City School District Consumer Utilities,Westchester
Saratoga County Sales and Use Tax,Saratoga
Schenectady City School District Consumer Utilities,Schenectady
Schenectady County Sales and Use Tax,Schenectady
Schoharie County Sales and Use Tax,Schoharie
Schuyler County Sales and Use Tax,Schuyler
Seneca County Sales and Use Tax,Seneca
St. Lawrence County Sales and Use Tax,St Lawrence
Steuben County Sales and Use Tax,Steuben
Suffolk County Sales and Use Tax,Suffolk
Sullivan County Sales and Use Tax,Sullivan
Tioga County Sales and Use Tax,Tioga
Tompkins County Sales and Use Tax,Tompkins
Troy City School District Consumer Utilities,Rensselaer
Ulster County Sales and Use Tax,Ulster
Utica City School District Consumer Utilities,Oneida
Warren County Sales and Use Tax,Warren
Washington County Sales and Use Tax,Washington
Watertown City School District Consumer Utilities,Jefferson
Watervliet City School District Consumer Utilities,Albany
Wayne County Sales and Use Tax,Wayne
Westchester County Sales and Use Tax,Westchester
White Plains City School District Consumer Utilities,Westchester
Wyoming County Sales and Use Tax,Wyoming
Yates County Sales and Use Tax,Yates
