Status,Sales Tax Year,Selling Period,Sales Tax Quarter,Jurisdiction,NAICS Industry Group,Description,Taxable Sales and Purchases,Jurisdiction Sort Order,Row Update Indicator
P,2020 - 2021,September - November,3,NY STATE,4441,Building Material and Supplies Dealers,4342762561,1,1202134441
P,2020 - 2021,September - November,3,MCTD,4441,Building Material and Supplies Dealers,2532197887,2,2202134441
P,2020 - 2021,September - November,3,ALBANY,4441,Building Material and Supplies Dealers,94263080,3,3202134441
P,2020 - 2021,September - November,3,ALLEGANY,4441,Building Material and Supplies Dealers,5860496,4,4202134441
P,2020 - 2021,September - November,3,BROOME,4441,Building Material and Supplies Dealers,50434757,5,5202134441
P,2020 - 2021,September - November,3,CATTARAUGUS,4441,Building Material and Supplies Dealers,21724948,6,6202134441
P,2020 - 2021,September - November,3,CAYUGA,4441,Building Material and Supplies Dealers,23381392,7,7202134441
P,2020 - 2021,September - November,3,CHAUTAUQUA,4441,Building Material and Supplies Dealers,36602335,8,8202134441
P,2020 - 2021,September - November,3,CHEMUNG,4441,Building Material and Supplies Dealers,22626086,9,9202134441
P,2020 - 2021,September - November,3,CHENANGO,4441,Building Material and Supplies Dealers,11870557,10,10202134441
P,2020 - 2021,September - November,3,CLINTON,4441,Building Material and Supplies Dealers,30347431,11,11202134441
P,2020 - 2021,September - November,3,COLUMBIA,4441,Building Material and Supplies Dealers,30381409,12,12202134441
P,2020 - 2021,September - November,3,CORTLAND,4441,Building Material and Supplies Dealers,17736850,13,13202134441
P,2020 - 2021,September - November,3,DELAWARE,4441,Building Material and Supplies Dealers,17052152,14,14202134441
P,2020 - 2021,September - November,3,DUTCHESS,4441,Building Material and Supplies Dealers,99476982,15,15202134441
P,2020 - 2021,September - November,3,ERIE,4441,Building Material and Supplies Dealers,236576383,16,16202134441
P,2020 - 2021,September - November,3,ESSEX,4441,Building Material and Supplies Dealers,18413879,17,17202134441
P,2020 - 2021,September - November,3,FRANKLIN,4441,Building Material and Supplies Dealers,15590244,18,18202134441
P,2020 - 2021,September - November,3,FULTON,4441,Building Material and Supplies Dealers,13817635,19,19202134441
P,2020 - 2021,September - November,3,GENESEE,4441,Building Material and Supplies Dealers,16404691,20,20202134441
P,2020 - 2021,September - November,3,GREENE,4441,Building Material and Supplies Dealers,29063239,21,21202134441
P,2020 - 2021,September - November,3,HAMILTON,4441,Building Material and Supplies Dealers,2607406,22,22202134441
P,2020 - 2021,September - November,3,HERKIMER,4441,Building Material and Supplies Dealers,16168770,23,23202134441
P,2020 - 2021,September - November,3,JEFFERSON,4441,Building Material and Supplies Dealers,41780604,24,24202134441
P,2020 - 2021,September - November,3,LEWIS,4441,Building Material and Supplies Dealers,7241414,25,25202134441
P,2020 - 2021,September - November,3,LIVINGSTON,4441,Building Material and Supplies Dealers,11321173,26,26202134441
P,2020 - 2021,September - November,3,MADISON,4441,Building Material and Supplies Dealers,25769653,27,27202134441
P,2020 - 2021,September - November,3,MONROE,4441,Building Material and Supplies Dealers,170382275,28,28202134441
P,2020 - 2021,September - November,3,MONTGOMERY,4441,Building Material and Supplies Dealers,24352819,29,29202134441
P,2020 - 2021,September - November,3,NASSAU,4441,Building Material and Supplies Dealers,357805948,30,30202134441
P,2020 - 2021,September - November,3,NIAGARA,4441,Building Material and Supplies Dealers,50515129,31,31202134441
P,2020 - 2021,September - November,3,NY CITY,4441,Building Material and Supplies Dealers,958930839,32,32202134441
P,2020 - 2021,September - November,3,ONEIDA,4441,Building Material and Supplies Dealers,65967522,33,33202134441
P,2020 - 2021,September - November,3,ONONDAGA,4441,Building Material and Supplies Dealers,135683253,34,34202134441
P,2020 - 2021,September - November,3,ONTARIO,4441,Building Material and Supplies Dealers,43042648,35,35202134441
P,2020 - 2021,September - November,3,ORANGE,4441,Building Material and Supplies Dealers,120478069,36,36202134441
P,2020 - 2021,September - November,3,ORLEANS,4441,Building Material and Supplies Dealers,5524193,37,37202134441
P,2020 - 2021,September - November,3,OSWEGO,4441,Building Material and Supplies Dealers,14599722,38,38202134441
P,2020 - 2021,September - November,3,OTSEGO,4441,Building Material and Supplies Dealers,25031123,39,39202134441
P,2020 - 2021,September - November,3,PUTNAM,4441,Building Material and Supplies Dealers,34107713,40,40202134441
P,2020 - 2021,September - November,3,RENSSELAER,4441,Building Material and Supplies Dealers,39973047,41,41202134441
P,2020 - 2021,September - November,3,ROCKLAND,4441,Building Material and Supplies Dealers,82492352,42,42202134441
P,2020 - 2021,September - November,3,SARATOGA,4441,Building Material and Supplies Dealers,92198323,43,43202134441
P,2020 - 2021,September - November,3,SCHENECTADY,4441,Building Material and Supplies Dealers,40410111,44,44202134441
P,2020 - 2021,September - November,3,SCHOHARIE,4441,Building Material and Supplies Dealers,4815647,45,45202134441
P,2020 - 2021,September - November,3,SCHUYLER,4441,Building Material and Supplies Dealers,2128700,46,46202134441
P,2020 - 2021,September - November,3,SENECA,4441,Building Material and Supplies Dealers,12524221,47,47202134441
P,2020 - 2021,September - November,3,ST LAWRENCE,4441,Building Material and Supplies Dealers,38255839,48,48202134441
P,2020 - 2021,September - November,3,STEUBEN,4441,Building Material and Supplies Dealers,32152732,49,49202134441
P,2020 - 2021,September - November,3,SUFFOLK,4441,Building Material and Supplies Dealers,611088247,50,50202134441
P,2020 - 2021,September - November,3,SULLIVAN,4441,Building Material and Supplies Dealers,27120663,51,51202134441
P,2020 - 2021,September - November,3,TIOGA,4441,Building Material and Supplies Dealers,5806232,52,52202134441
P,2020 - 2021,September - November,3,TOMPKINS,4441,Building Material and Supplies Dealers,27560393,53,53202134441
P,2020 - 2021,September - November,3,ULSTER,4441,Building Material and Supplies Dealers,67459917,54,54202134441
P,2020 - 2021,September - November,3,WARREN,4441,Building Material and Supplies Dealers,43810853,55,55202134441
P,2020 - 2021,September - November,3,WASHINGTON,4441,Building Material and Supplies Dealers,12680614,56,56202134441
P,2020 - 2021,September - November,3,WAYNE,4441,Building Material and Supplies Dealers,23329688,57,57202134441
P,2020 - 2021,September - November,3,WESTCHESTER,4441,Building Material and Supplies Dealers,268305360,58,58202134441
P,2020 - 2021,September - November,3,WYOMING,4441,Building Material and Supplies Dealers,7783076,59,59202134441
P,2020 - 2021,September - November,3,YATES,4441,Building Material and Supplies Dealers,7869252,60,60202134441
P,2020 - 2021,June - August,2,NY STATE,4441,Building Material and Supplies Dealers,4779187138,1,1202124441
P,2020 - 2021,June - August,2,MCTD,4441,Building Material and Supplies Dealers,2707453865,2,2202124441
P,2020 - 2021,June - August,2,ALBANY,4441,Building Material and Supplies Dealers,100656742,3,3202124441
P,2020 - 2021,June - August,2,ALLEGANY,4441,Building Material and Supplies Dealers,7269078,4,4202124441
P,2020 - 2021,June - August,2,BROOME,4441,Building Material and Supplies Dealers,59493899,5,5202124441
P,2020 - 2021,June - August,2,CATTARAUGUS,4441,Building Material and Supplies Dealers,26515475,6,6202124441
P,2020 - 2021,June - August,2,CAYUGA,4441,Building Material and Supplies Dealers,27193432,7,7202124441
P,2020 - 2021,June - August,2,CHAUTAUQUA,4441,Building Material and Supplies Dealers,45400069,8,8202124441
