Desc,NAICS_code
Oilseed and Grain Farming,1111
Vegetable and Melon Farming,1112
Fruit and Tree Nut Farming,1113
"Greenhouse, Nursery, and Floriculture Production",1114
Other Crop Farming,1119
Cattle Ranching and Farming,1121
Hog and Pig Farming,1122
Poultry and Egg Production,1123
Sheep and Goat Farming,1124
Aquaculture,1125
Other Animal Production,1129
Timber Tract Operations,1131
Forest Nurseries and Gathering of Forest Products,1132
Logging,1133
Fishing,1141
Hunting and Trapping,1142
Support Activities for Crop Production,1151
Support Activities for Animal Production,1152
Support Activities for Forestry,1153
Oil and Gas Extraction,2111
Coal Mining,2121
Metal Ore Mining,2122
Nonmetallic Mineral Mining and Quarrying,2123
Support Activities for Mining,2131
"Electric Power Generation, Transmission and Distribution",2211
Natural Gas Distribution,2212
"Water, Sewage and Other Systems",2213
Residential Building Construction,2361
Nonresidential Building Construction,2362
Utility System Construction,2371
Land Subdivision,2372
"Highway, Street, and Bridge Construction",2373
Other Heavy and Civil Engineering Construction,2379
"Foundation, Structure, and Building Exterior Contractors",2381
Building Equipment Contractors,2382
Building Finishing Contractors,2383
Other Specialty Trade Contractors,2389
Animal Food Manufacturing,3111
Grain and Oilseed Milling,3112
Sugar and Confectionery Product Manufacturing,3113
Fruit and Vegetable Preserving and Specialty Food Manufacturing,3114
Dairy Product Manufacturing,3115
Animal Slaughtering and Processing,3116
Seafood Product Preparation and Packaging,3117
Bakeries and Tortilla Manufacturing,3118
Other Food Manufacturing,3119
Beverage Manufacturing,3121
Tobacco Manufacturing,3122
"Fiber, Yarn, and Thread Mills",3131
Fabric Mills,3132
Textile and Fabric Finishing and Fabric Coating Mills,3133
Textile Furnishings Mills,3141
Other Textile Product Mills,3149
Apparel Knitting Mills,3151
Cut and Sew Apparel Manufacturing,3152
Apparel Accessories and Other Apparel Manufacturing,3159
Leather and Hide Tanning and Finishing,3161
Footwear Manufacturing,3162
Other Leather and Allied Product Manufacturing,3169
Sawmills and Wood Preservation,3211
"Veneer, Plywood, and Engineered Wood Product Manufacturing",3212
Other Wood Product Manufacturing,3219
"Pulp, Paper, and Paperboard Mills",3221
Converted Paper Product Manufacturing,3222
Printing and Related Support Activities,3231
Petroleum and Coal Products Manufacturing,3241
Basic Chemical Manufacturing,3251
"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",3252
"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",3253
Pharmaceutical and Medicine Manufacturing,3254
