Jurisdiction,Yr1,Yr2
NY STATE,1658698885.96,993338934.2
MCTD,120390078.44,65064198.36
ALBANY,25715013.32,18102370.12
ALLEGANY,1395069.89,1172593.26
BROOME,11776551.44,9800790.24
CATTARAUGUS,3569230.44,3078405.92
CAYUGA,3430970.04,2789109.52
CHAUTAUQUA,6717881.04,5949028.32
CHEMUNG,5261823.88,4412618.24
CHENANGO,1343271.92,1162341.56
CLINTON,4636542.88,3763724.56
COLUMBIA,3175313.88,2593014.96
CORTLAND,2345789.16,1947116.8
DELAWARE,1306656.08,1161869.56
DUTCHESS,17632962.22,14135647.28
ERIE,81970206.6,64058341.49
ESSEX,2616156.76,2043542.84
FRANKLIN,1498528.88,1330802.8
FULTON,2264359.24,2141884.36
GENESEE,3543316.68,2985109.28
GREENE,2599582.08,2202055.16
HAMILTON,289841.16,205803.52
HERKIMER,2818725.21,2381964.39
JEFFERSON,7348352.84,6521658.0
LEWIS,839431.52,699095.56
LIVINGSTON,2952831.6,2566909.2
MADISON,2659893.76,2218473.04
MONROE,47537147.24,38193309.64
MONTGOMERY,2103963.52,1842947.8
NASSAU,120874237.63,98536249.45
NIAGARA,12226753.56,10188597.44
NY CITY,1026295576.29,441274550.49
ONEIDA,12203465.36,10073804.6
ONONDAGA,33089486.48,24911877.24
ONTARIO,7473315.71,5885918.75
ORANGE,21910208.32,18109393.27
ORLEANS,1186546.44,1176866.8
OSWEGO,3128831.48,2787593.04
OTSEGO,3566457.84,2472179.08
PUTNAM,4263106.76,3594109.92
RENSSELAER,7819678.92,6154089.8
ROCKLAND,17254301.48,12981793.6
SARATOGA,12950184.21,9855636.09
SCHENECTADY,7682311.08,6468171.6
SCHOHARIE,987354.48,857735.44
SCHUYLER,895099.72,744933.28
SENECA,1600167.64,1310344.08
ST LAWRENCE,4021327.04,3476699.56
STEUBEN,4151313.0,3295053.96
SUFFOLK,129076331.42,109924925.32
SULLIVAN,2784410.28,2432975.24
TIOGA,1356979.16,1167591.92
TOMPKINS,6317079.6,3994287.04
ULSTER,11313290.76,9121317.4
WARREN,6103127.52,5016306.27
WASHINGTON,1002641.46,907596.9
WAYNE,2914770.56,2701585.24
WESTCHESTER,72522312.52,54575530.28
WYOMING,1475010.36,1309300.56
YATES,778477.28,624873.0
