Status,Sales Tax Year,Selling Period,Sales Tax Quarter,Jurisdiction,NAICS Industry Group,Description,Taxable Sales and Purchases,Jurisdiction Sort Order,Row Update Indicator
P,2020 - 2021,September - November,3,NY STATE,7225,Restaurants and Other Eating Places,7176483130,1,1202137225
P,2020 - 2021,September - November,3,MCTD,7225,Restaurants and Other Eating Places,5125645513,2,2202137225
P,2020 - 2021,September - November,3,ALBANY,7225,Restaurants and Other Eating Places,129163796,3,3202137225
P,2020 - 2021,September - November,3,ALLEGANY,7225,Restaurants and Other Eating Places,7460275,4,4202137225
P,2020 - 2021,September - November,3,BROOME,7225,Restaurants and Other Eating Places,66283308,5,5202137225
P,2020 - 2021,September - November,3,CATTARAUGUS,7225,Restaurants and Other Eating Places,20404053,6,6202137225
P,2020 - 2021,September - November,3,CAYUGA,7225,Restaurants and Other Eating Places,19145258,7,7202137225
P,2020 - 2021,September - November,3,CHAUTAUQUA,7225,Restaurants and Other Eating Places,38750462,8,8202137225
P,2020 - 2021,September - November,3,CHEMUNG,7225,Restaurants and Other Eating Places,28713068,9,9202137225
P,2020 - 2021,September - November,3,CHENANGO,7225,Restaurants and Other Eating Places,7726734,10,10202137225
P,2020 - 2021,September - November,3,CLINTON,7225,Restaurants and Other Eating Places,25670340,11,11202137225
P,2020 - 2021,September - November,3,COLUMBIA,7225,Restaurants and Other Eating Places,19078749,12,12202137225
P,2020 - 2021,September - November,3,CORTLAND,7225,Restaurants and Other Eating Places,12753786,13,13202137225
P,2020 - 2021,September - November,3,DELAWARE,7225,Restaurants and Other Eating Places,8081708,14,14202137225
P,2020 - 2021,September - November,3,DUTCHESS,7225,Restaurants and Other Eating Places,111298400,15,15202137225
P,2020 - 2021,September - November,3,ERIE,7225,Restaurants and Other Eating Places,367729508,16,16202137225
P,2020 - 2021,September - November,3,ESSEX,7225,Restaurants and Other Eating Places,14063823,17,17202137225
P,2020 - 2021,September - November,3,FRANKLIN,7225,Restaurants and Other Eating Places,8892007,18,18202137225
P,2020 - 2021,September - November,3,FULTON,7225,Restaurants and Other Eating Places,13766633,19,19202137225
P,2020 - 2021,September - November,3,GENESEE,7225,Restaurants and Other Eating Places,21467751,20,20202137225
P,2020 - 2021,September - November,3,GREENE,7225,Restaurants and Other Eating Places,15300549,21,21202137225
P,2020 - 2021,September - November,3,HAMILTON,7225,Restaurants and Other Eating Places,1076393,22,22202137225
P,2020 - 2021,September - November,3,HERKIMER,7225,Restaurants and Other Eating Places,14816805,23,23202137225
P,2020 - 2021,September - November,3,JEFFERSON,7225,Restaurants and Other Eating Places,41270995,24,24202137225
P,2020 - 2021,September - November,3,LEWIS,7225,Restaurants and Other Eating Places,3895474,25,25202137225
P,2020 - 2021,September - November,3,LIVINGSTON,7225,Restaurants and Other Eating Places,17427258,26,26202137225
P,2020 - 2021,September - November,3,MADISON,7225,Restaurants and Other Eating Places,15869437,27,27202137225
P,2020 - 2021,September - November,3,MONROE,7225,Restaurants and Other Eating Places,258200289,28,28202137225
P,2020 - 2021,September - November,3,MONTGOMERY,7225,Restaurants and Other Eating Places,12574838,29,29202137225
P,2020 - 2021,September - November,3,NASSAU,7225,Restaurants and Other Eating Places,656045930,30,30202137225
P,2020 - 2021,September - November,3,NIAGARA,7225,Restaurants and Other Eating Places,67370069,31,31202137225
P,2020 - 2021,September - November,3,NY CITY,7225,Restaurants and Other Eating Places,2958261352,32,32202137225
P,2020 - 2021,September - November,3,ONEIDA,7225,Restaurants and Other Eating Places,68164796,33,33202137225
P,2020 - 2021,September - November,3,ONONDAGA,7225,Restaurants and Other Eating Places,174021414,34,34202137225
P,2020 - 2021,September - November,3,ONTARIO,7225,Restaurants and Other Eating Places,48180858,35,35202137225
P,2020 - 2021,September - November,3,ORANGE,7225,Restaurants and Other Eating Places,141468115,36,36202137225
P,2020 - 2021,September - November,3,ORLEANS,7225,Restaurants and Other Eating Places,7934373,37,37202137225
P,2020 - 2021,September - November,3,OSWEGO,7225,Restaurants and Other Eating Places,18713037,38,38202137225
